DBA	LOCATION
UNILEVER HPC - USA	2900 W TRUMAN BLVD
DUKES ON THE BOULEVARD	2125 MISSOURI BLVD
PHI DELTA THETA	500 WESTMINSTER AVE
CHURCHILL TERRACE A L	120 HOSPITAL DRIVE
SOMO SCHOOL FOR THE DEAF	505 E. 5TH ST.
SOMO FULTON TREAT CTR	1650 HWY O
CINCO DE MAYO II	600 COMMONS DR
DEL TAU DEL - WESTMINSTER	610 WESTMINSTER AVE
PARK COLUMBIA	4380 NOCONA PKWY
DELIAS ON STADIUM	1400 CINNAMON HILL LN
DRURY PLAZA HOTEL  #179	3100 INTERSTATE 70 DR SE
SPRINGHILL SUITES	3415 CLARK LN
MI JALISCO	901 SAFARI DR
TRN COLUMBIA CNTRY CLB	2210 N COUNTRY CLUB DR
BROADWAY BANQUETS AT WALN	1109 E WALNUT ST
PEACHTREE CATERING 2	700 CONLEY AVE
ALPHA DELTA PI - MISSOURI	809 RICHMOND AVE
ELMOES CATERING	1201 ROLLINS ST
G & D STEAKHOUSE	2001 WEST WORLEY
3 OAKS - LENIOR WOODS MNR	1 HOURIGAN CIR
3 OAKS - LENIOR WOODS BR	3850 CARTWRIGHT LN
MU CDS RESTAURANTS AT SW	502 KENTUCKY BLVD
MU CDS THE MARK ON 5TH ST	515 SOUTH 5TH STREET
FLAT BRANCH BREWING CO	115 SOUTH 5TH STREET
BROADWAY DINER, INC.	22 S 4TH ST
CHI OMEGA - MISSOURI	406 BURNAM AVE
SIGMA KAPPA - MISSOURI	908 CURTIS AVE
CCS CITY BROILER	1401 FORUM BLVD
JOJOS BISCUIT CO #1	2540 BROADWAY BLUFFS DR
MU CDS STUDENT CENTER	901 E ROLLINS
PEACHTREE CATERING INC	602 FAY ST
QDOBA #3263 MIZZOU	821 ELM ST
MU CDS WHEATSTONE BISTRO	518 HITT ST
LE BAO ASIAN EATERY	1009 PARK AVE
44 CANTEEN	21 N 9TH ST
WILLIES/FIELDHOUSE	1109 E BROADWAY
CAFE BERLIN INTL	220 N 10TH STREET
OZARK BISCUIT BAR	1204 HINKSON AVE
EL RANCHO	1014 EAST BROADWAY
COL BOYS & GIRLS CLUB	1200 N 7TH ST
DELTA SIGMA PHI -MISSOURI	805 RICHMOND AVE
MADISONS2	216 MADISON ST
OSCARS CLASSIC DINER LLC	2118 SCHOTTHILL WOOD DR
QDOBA #3287 JEFFERSON	1803 MISSOURI BLVD
BAYMONT INN AND SUITES	319 W MILLER ST
CINCO DE MAYO	409 W MILLER ST
JQ'S ON HIGH	911 E HIGH ST
COURTYARD JEFFERSON CITY	610 BOLIVAR STREET
HSNGR BLUFFS NSG RHB LLC	1002 W MAIN ST
HEISINGER BLUFFS HC W CMP	1306 W MAIN ST
DRAGON KITCHEN-JEFF CITY	2219 MISSOURI BLVD; STE U
SAKURA	730 W STADIUM BLVD
LUTZ BBQ	3505 MISSOURI BLVD
FUJI JAPANESE STEAK HOUSE	3600 COUNTRY CLUB DR #512
BURGHER HAUS RESTAURANT	1001 W BUCHANAN ST
DICUS BBQ	1203 W BUCHANAN ST
MEXI CALI BAR AND GRILL	406 N HIGH ST
PETRO FUEL #0318100 KINGD	3304 GOLD AVE
PETRO REST #0318700 KINGD	3304 GOLD AVE
EX KINGDOM CITY COUKC	3257 COUNTY ROAD 211
DINER 54	2571 S. CLARK ST.
DAGWOODS JR	216 W PROMENADE
VEGA'S BURRITOS LLC	113 S. WASHINGTON
BEST WESTERN TEAL LAKEINN	3602 S CLARK ST
DOS ARCOS - MEXICO	1425 W MONROE
LAKEVIEW BEND ALF	1700 ASBURY CIRCLE WEST
ROUND TABLE FAMILY RESTAU	937 MISSOURI 22
THATS FIRE BBQ	595 N ROUTE B
ZETA TAU ALPHA - MISSOURI	912 RICHMOND AVE
PHI MU - MISSOURI	503 KENTUCKY BLVD
BIG DADDYS BBQ	1802 PARIS RD
WINGIN OUT	916 E BROADWAY
MU GEN ATHLETIC DINING	1107 S. PROVIDENCE ROAD
MU CDS SABAI	1100 ROLLINS ST
MURRYS	3107 GREEN MEADOWS WAY
D ROWE'S RESTAURANT	1005 CLUB VILLAGE DR
BELLY MARKET AND ROTISSER	1010 CLUB VILLAGE DR
ARBORS MILL CREEK VIL MC	1980 W SOUTH HAMPTON DR
MILL CREEK VILLAGE	1990 W SOUTH HAMPTON DR
BONKERS COLUMBIA	3812 BUTTONWOOD DR
TOWNEPLACE STS COLUMBIA	4400 NOCONA PARKWAY
SIG ALPH EPS - MISSOURI	24 E STEWART RD
PI KAPPA PHI - MISSOURI	110 EAST STEWART ROAD
THETA CHI - MISSOURI	111 E STEWART RD
LA TERRAZA MEXICAN GRILL	1412 FORUM BLVD
GG ALPHA EPS PI MISSOURI	901 TIGER AVE
EQUIPMENT SHARE	5710 BULL RUN DR
SIGMA NU - MISSOURI	710 S COLLEGE AVE
BETA THETA PI	520 S COLLEGE AVE
TRUMANS BAR AND GRILL INC	3304 W BROADWAY BUSINESS
JAMACIAN JERK HUT	711A VANDIVER DRIVE
PEGGY JEANS PIES STADIUM	421 N STADIUM BLVD STE 1
ECLIPSE CFS	4600 CHRISTIAN FELLOWSHIP
ASHLEY MANOR HEALTH RHB	1630 RADIO HILL RD
BOONVILLE VALLEY HOPE	1415 W ASHLEY RD
HOLIDAY INN BNVL GP BNLMO	2419 MID AMERICAN IND DR
MAGGIES BAR & GRILL	416 MAIN ST
DOS PRIMOS	400 N CLEVELAND ST
MIDWAY GOLF AND GAMES	5500 W VAN HORN TAVERN RD
DEL DEL DEL - MISSOURI	901 RICHMOND AVE
GRAND CRU LLC	2600 S PROVIDENCE
US FOODS ST.LOUIS	8543 PAGE AVE
MU HC UH PATIENT KITCHEN	1 HOSPITAL DRIVE GW-22
MU CDS PLAZA 900	900 VIRGINIA AVE
MU CDS ROLLINS	1200 E ROLLINS ST
MU GEN SEZ FUEL	239 CHAMPIONS DRIVE
MU GEN ENDZONE	239 CHAMPIONS DRIVE
LA FUENTE III	1050 E NORTH AVE
CLAY COUNTY HOSPITAL	911 STACY BURKE DRIVE
LOS TRES CAMINOS	212 E NORTH AVE
LA FUENTE II RESTAURANT	1007 COMMERCE DR
BAILEYS BISTRO	1 W MAIN ST
EL CACTUS TEX MEX RESTAUR	200 W MAIN ST
ABBIS SALAD TO GO	18 W MAIN ST
MIS TRES POTRILLOS MEXICA	5191 E SHORT LN
CARLE RICHLAND MEDICAL CT	800 E LOCUST ST
OLNEY CAFE	921 E MAIN ST
EL CACTUS RESTAURANT	200 W MAIN ST
MIS TRES POTRILLOS OLNEY	211 SOUTH WEST STREET
QIK SAK	7722 N US HWY 45
AD 101560 EFFINGHAM	1507 HAMPTON DR
PETRO REST #0321700 EFFIN	1805 W FAYETTE AVE
FLYING J #64300 EFFINGHAM	1701 W EVERGREEN
HEARTLAND DENTAL	1200 NETWORK CENTRE DR
OLD MACS DRIVE THRU INC	203 N LODA RD
ROADRUNNER REFUEL	405 E CENTER ST
LAPOBLANITA MEXICAN RESTA	1011 S VAN BUREN ST
CTN 1452 PEPSI HERSHY CAF	1401 W MAIN ST
LOS GARDINES	124 E MAIN ST
BACK PORCH SMOKE HOUSE 2	1802 W MAIN ST
THE WORKING MULE	1010 E HIGHLAND AVE
KAY HOLSCHER CATERING	7766 N 1500TH ST
BONNIE CAFE MT V	100 AVIATION DR
BONNIE CAFE	675 S IL HWY 37
FRANKLIN HOSPITAL	201 BAILEY LANE
POP'S BBQ	322 NORTH MAIN STREET
LAFIESTA MEXICAN REST	110 JACKSON ST
LA FIESTA WEST FRANKFORT	1402 W MAIN ST
SERGIO'S (HERRIN)	1400 S 16TH ST
CARMEN'S CAFE	1401 S PARK AVE
ROBS BBQ	7335 COX DR
SIH MEMORIAL HOSP-VHA	405 WEST JACKSON
DON TACO II	780 E GRAND AVE
SERGIO'S CANTINA	1160 E MAIN ST
AD 1378 CARBONDALE	1382 E MAIN ST
DON SOL MEX GRILL CARBON	715 N GIANT CITY RD
SOUTHPAW BAR AND GRILL	1 APPLE CITY CTR
PATS BBQ	111 TOWER ROCK LN
BOOBYS	406 S ILLINOIS AVE
DEPOT - 1 DRU KEE	1000 MINERS DR
BONNIE CAFE WEST FRANKFOR	15 W FRANKFORT PLZ
DRURY INN #90	2706 W DEYOUNG ST
KOKOPELLI GOLF CLUB	1527 CHAMPIONS DR
K B BAR B QUE          R	1301 EAST MAIN STREET
WALTS PIZZA	213 COURT
ROAD RANGER #279 MARION	1701 IL ROUTE 148
LICK CREEK COMMUNITY SCHO	7355 LICK CREEK RD
THE HANGRY HUT	101 SPRINGFIELD AVE
TIOS TAQUERIA	502 W VINE ST
EL TEQUILA MEXICAN REST	523 E VINE ST
SOUTHERN 7 HS-VIENNA	513 E VINE STREET
ANGIE'S EAT'S AND SWEETS	327 RAYMOND STREET
SIH HARRISBURG MED CTR	100 DR WARREN TUTTLE DR
DON LUNA LLC	612 W POPLAR ST
MORELLO PIZZA AND GRILL	217 E POPLAR ST
STEAM CAFE	10 S CHERRY ST STE 3
HARRISBURG FAMILY RESTAUR	601 N COMMERCIAL ST
SC STERN CARMI MANOR	615 W WEBB ST
ROAD RANGER #268 GRYVLL	1776 S COURT ST
LICKIN BY CHICKEN & PULLI	21661 U.S. 45
EL RANCHERITO    A	4303 BROADWAY
THE GOLDEN PANCAKE	419 S 44TH ST
CMPS GREENTREE MT VERNON	208 ZACHERY DR
JJS SPORTS BAR & GRILL	4424 FAIRFAX DR
AD 101640 MT VERNON	134 N 44TH ST
VILLAGE GARDEN NEW	1517 W MAIN ST
SUPER 8 MOTEL	118 WOODS LANE
EL RANCHERITO OF SALEM	103 BOULDRIDGE LN STE 301
LA FUENTE MOUNT VERNON	222 S 9TH ST
KRETZERS GRILL AND BAR	218 E SAINT LOUIS ST
NEW LITTLE NASHVILLE	11700 ILLINOIS 127
BRYAN MANOR	2150 E MCCORD STREET
BONNIE CAFE CENTRALIA	816 S POPLAR ST
GOLDEN PANCAKE HOUSE CENT	720 W BROADWAY
KASKASKIA COLLEGE CAFE	27210 COLLEGE RD
ODIN PUBLIC SCHOOL D#722	102 S MERRITT ST
BONNIE CAFE SALEM	1300 S BROADWAY AVE SUITE
QDOBA #2658 32ND ST	415 N 32ND ST
NEW TAQUERIA ARANDAS	1828 BROADWAY ST
CLEAN EATZ QUINCY	4490 BROADWAY ST
CASA LEON	4420 BROADWAY ST UNIT E
JOHN WOOD COMMUNITY COLLE	1301 S 48TH ST
EL RANCHERITO RESTAURANT	307 N 36TH ST
MI JALAPENO	3120 BROADWAY
TIRAMISU RESTAURANT	131 N 4TH ST
RIVERSIDE BBQ QUINCY	222 S 3RD ST
LOS GIRASOLES	201 N 4TH ST
ARANDAS MEXICAN BAR AND G	645 VINE ST
J COLTES TAVERN	407 STATE ST
LOS GIRASOLES 2	123 W MAIN ST
EL NOPAL INC	805 MARION STREET
WAYNE BBQ	320 N 3RD ST
RIO GRANDE BAR AND GRILL	111 BIRD ST
CASA TEQUILA	600 U.S. 24
VALENCIAS	513 U.S. 54
MAYA RESTAURANT PITTSFIEL	1240 W WASHINGTON
AD 1443 SPRINGFIELD	2917 W ILES AVE
AD 101642 SPRINGFIELD	3130 S DIRKSEN PKWY
ROAD RANGER #118 SPRNGFLD	3752 CAMP BUTLER RD
AD 101561 FORSYTH	850 US-51
QDOBA #2264 SOUTH COUNTY	90 S COUNTY CENTER WAY
LIONS CHOICE SOUTH #05	6030 SOUTH LINDBERGH
THREE KINGS SAPPINGTON	40 RONNIES PLZ
LIONS CHOICE SNST HLS #12	10765 SUNSET HILLS PLAZA
WALNUT GRILL-SUNSET HILLS	10797 SUNSET HILLS PLZ
SUGARFIRE VALLEY PARK K	932 MERAMEC STATION RD
LIONS CHOICE FENTON #11	698 GRAVOIS BLUFFS BLVD
QDOBA #2142 GRAVOIS	180 GRAVOIS BLUFFS CIR
POST SPORTS FENTON #3	568 OLD SMIZER MILL RD
QDOBA #2593 ARNOLD	905 ARNOLD COMMONS DR
THREE KINGS COTTLEVILLE	5045 STATE ROUTE N
HI POINTE COTTLEVILLE	6015 MID RIVERS MALL DR
CLEAN EATZ OFALLON	325 WINDING WOODS DR
LIONS CHOICE OFALLON #09	8710 VETERANS MEM PKWY
EL MEZON O FALLON	2175 W TERRA LN
LIONS CHOICE WENTZVLE #22	901 W PEARCE BLVD
THE POST SPTTS BR & GR #4	6472 RONALD REAGAN DR
LIONS CHOICE OFK #25	4520 HIGHWAY K
LIONS CHOICE CHSTERFD #10	17294 CHESTERFIELD AIRPOR
NAPOLI BROS PIZZA & PASTA	17081 NORTH OUTER 40 RD
QDOBA #2392 LINDELL	4049 LINDELL BLVD
ARCH CITY DELI	430 S 15TH ST
CLEAN EATZ IL01 EDWARDS	316 S BUCHANAN ST
CLEVELAND HEATH	106 N MAIN ST
EL MAGUEY EDWARDSVILLE	1534 TROY RD
EDLEYS BAR B QUE GLEN CAR	2392 S STATE ROUTE 157
ZAPATAS MEXICAN RESTAURAN	8 EASTPORT PLAZA DR
EDLEYS BAR B QUE O FALLON	531 W HIGHWAY 50
SUGARFIRE O'FALLON	1425 N GREEN MOUNT RD
ZAPATAS FAIRVIEW HEIGHTS	4660 N ILLINOIS ST
BEAST CRAFT BBQ CO	20 S BELT W
LIONS CHOICE HANLEY #13	1605 HANLEY ROAD
CASA DE TRES REYES	1181 COLONNADE CTR
THREE KINGS DES PERES	11925 MANCHESTER RD
LIONS CHOICE DES PRES #14	11913 MANCHESTER RD
GULF SHORES CREVE COEUR	12528 OLIVE BLVD
CLANCYS IRISH PUB	40 OLD STATE RD
LIONS CHOICE ELLISVLE #21	3048 CLARKSON RD
SALT AND SMOKE ELLISVILLE	1385 CLARKSON CLAYTON CTR
THAI SAWADEE	171 HILLTOWN VILLAGE CTR
YIA YIA'S - ST LOUIS	15601 OLIVE BLVD
HI POINTE DISTRICT	17081 N OUTER 40 RD
LIONS CHOICE BALLWIN #01	14919 MANCHESTER ROAD
TA FUEL#0461100 CUBA	5922 MO 19
JERSEY MIKES #25028	1051 N BISHOP AVE
FAIRFIELD INN & STS ROLLA	1670 OLD WIRE OUTER RD
ROAD RANGER #242 STRBR	22345 HIGHWAY 28
SOMO GENTRY RES TREAT CTR	2001 DYS DR
CHATEAU ON THE LAKE	415 STATE HIGHWAY 265
OZARK NURSING CENTER	1486 N RIVERSIDE RD
UNIVERSITY PLAZA HOTEL	333 SOUTH HAMMONS PARKWAY
PILOT #106100 SPRNGFLD	4939 W CHESTNUT EXPRSWY
LAQUINTA INN AND SUITES AIRPORT PLAZA	2445 N Airport Plaza Ave
WOODLAND MANOR	1347 E VALLEY WATER MILL
